,GEOID,PVI,Formatted_District,state_fips,state,Senate Pred Dem Adjusted,Senate Pred GOP Adjusted
1909,610U800US54008,-15.15170040880733,"Senate District 8 (2022), West Virginia",54,WV,0,1
1910,610U800US54009,-24.763882735989508,"Senate District 9 (2022), West Virginia",54,WV,0,1
1911,610U800US56001,-47.21660010440495,WY-Sen-01,56,WY,0,1
1912,610U800US56002,-40.02053305304763,WY-Sen-02,56,WY,0,1
1913,610U800US56003,-21.23612472528801,WY-Sen-03,56,WY,0,1
1914,610U800US56004,-12.73904187614453,WY-Sen-04,56,WY,0,1
1915,610U800US56005,0.8670870145946559,WY-Sen-05,56,WY,1,0
1916,610U800US56006,-21.49513625020945,WY-Sen-06,56,WY,0,1
1917,610U800US56007,-12.489883834080526,WY-Sen-07,56,WY,0,1
1918,610U800US56008,-0.8166871695952054,WY-Sen-08,56,WY,0,1
1919,610U800US56009,27.72450081669095,WY-Sen-09,56,WY,1,0
1920,610U800US56010,-0.8844138304109368,WY-Sen-10,56,WY,0,1
1921,610U800US56011,-25.654569877359894,WY-Sen-11,56,WY,0,1
1922,610U800US56012,-36.45098522804845,WY-Sen-12,56,WY,0,1
1923,610U800US56013,-46.366613114646285,WY-Sen-13,56,WY,0,1
